color,bestColor,contrast,compliance
#006090,#ffff00,6.36,AA
#006098,#ffff00,6.25,AA
#0060a0,#ffff00,6.15,AA
#0060a8,#ffff00,6.04,AA
#0060b0,#ffff00,5.93,AA
#0060b8,#ffff00,5.81,AA
#0060c0,#ffff00,5.69,AA
#0060c8,#ffff00,5.58,AA
#0060d0,#ffff00,5.46,AA
#0060d8,#ffff00,5.34,AA
#0060e0,#ffff00,5.22,AA
#0060e8,#ffff00,5.09,AA
#0060f0,#ffff00,4.97,AA
#0060f8,#ffff00,4.85,AA
#006800,#ffff00,6.56,AA
#006808,#ffff00,6.55,AA
#006810,#ffff00,6.55,AA
#006818,#ffff00,6.53,AA
#006820,#ffff00,6.52,AA
#006828,#ffff00,6.5,AA
#006830,#ffff00,6.47,AA
#006838,#ffff00,6.44,AA
#006840,#ffff00,6.4,AA
#006848,#ffff00,6.36,AA
#006850,#ffff00,6.32,AA
#006858,#ffff00,6.27,AA
#006860,#ffff00,6.21,AA
#006868,#ffff00,6.15,AA
#006870,#ffff00,6.08,AA
#006878,#ffff00,6.01,AA
#006880,#ffff00,5.94,AA
#006888,#ffff00,5.86,AA
#006890,#ffff00,5.78,AA
#006898,#ffff00,5.7,AA
#0068a0,#ffff00,5.61,AA
#0068a8,#ffff00,5.52,AA
#0068b0,#ffff00,5.42,AA
#0068b8,#ffff00,5.33,AA
#0068c0,#ffff00,5.23,AA
#0068c8,#ffff00,5.13,AA
#0068d0,#ffff00,5.03,AA
#0068d8,#ffff00,4.92,AA
#0068e0,#ffff00,4.82,AA
#0068e8,#ffff00,4.72,AA
#0068f0,#ffff00,4.61,AA
#0068f8,#ffff00,4.51,AA
#007000,#ffff00,5.89,AA
#007008,#ffff00,5.89,AA
#007010,#ffff00,5.88,AA
#007018,#ffff00,5.87,AA
#007020,#ffff00,5.86,AA
#007028,#ffff00,5.84,AA
#007030,#ffff00,5.82,AA
#007038,#ffff00,5.79,AA
#007040,#ffff00,5.77,AA
#007048,#ffff00,5.73,AA
#007050,#ffff00,5.7,AA
#007058,#ffff00,5.65,AA
#007060,#ffff00,5.61,AA
#007068,#ffff00,5.56,AA
#007070,#ffff00,5.51,AA
#007078,#ffff00,5.45,AA
#007080,#ffff00,5.39,AA
#007088,#ffff00,5.32,AA
#007090,#ffff00,5.26,AA
#007098,#ffff00,5.19,AA
#0070a0,#ffff00,5.11,AA
#0070a8,#ffff00,5.04,AA
#0070b0,#ffff00,4.96,AA
#0070b8,#ffff00,4.88,AA
#0070c0,#ffff00,4.79,AA
#0070c8,#ffff00,4.71,AA
#0070d0,#ffff00,4.62,AA
#0070d8,#ffff00,4.54,AA
#0070e0,#ffff00,4.45,None
#0070e8,#ffff00,4.36,None
#0070f0,#ffff00,4.27,None
#0070f8,#ffff00,4.18,None
#007800,#ffff00,5.3,AA
#007808,#ffff00,5.3,AA
#007810,#ffff00,5.29,AA
#007818,#ffff00,5.29,AA
#007820,#ffff00,5.27,AA
#007828,#ffff00,5.26,AA
#007830,#ffff00,5.24,AA
#007838,#ffff00,5.22,AA
#007840,#ffff00,5.2,AA
#007848,#ffff00,5.17,AA
#007850,#ffff00,5.14,AA
#007858,#ffff00,5.11,AA
#007860,#ffff00,5.07,AA
#007868,#ffff00,5.03,AA
#007870,#ffff00,4.99,AA
