color,bestColor,contrast,compliance
#2020f0,#ffa500,4.21,None
#203000,#ffa500,7.16,AAA
#203010,#ffa500,7.13,AAA
#203020,#ffa500,7.07,AAA
#203030,#ffa500,6.96,AA
#203040,#ffa500,6.82,AA
#203050,#ffa500,6.65,AA
#203060,#ffa500,6.43,AA
#203070,#ffa500,6.19,AA
#203080,#ffa500,5.92,AA
#203090,#ffa500,5.64,AA
#2030a0,#ffa500,5.34,AA
#2030b0,#ffa500,5.04,AA
#2030c0,#ffa500,4.74,AA
#2030d0,#ffa500,4.44,None
#2030e0,#ffa500,4.15,None
#2030f0,#ffa500,3.88,None
#204000,#ffa500,5.93,AA
#204010,#ffa500,5.9,AA
#204020,#ffa500,5.86,AA
#204030,#ffa500,5.79,AA
#204040,#ffa500,5.69,AA
#204050,#ffa500,5.57,AA
#204060,#ffa500,5.42,AA
#204070,#ffa500,5.24,AA
#204080,#ffa500,5.05,AA
#204090,#ffa500,4.84,AA
#2040a0,#ffa500,4.62,AA
#2040b0,#ffa500,4.39,None
#2040c0,#ffa500,4.16,None
#2040d0,#ffa500,3.93,None
#2040e0,#ffa500,3.7,None
#2040f0,#ffa500,3.48,None
#205000,#ffa500,4.81,AA
#205010,#ffa500,4.8,AA
#205020,#ffa500,4.77,AA
#205030,#ffa500,4.72,AA
#205040,#ffa500,4.66,AA
#205050,#ffa500,4.57,AA
#205060,#ffa500,4.47,None
#205070,#ffa500,4.35,None
#205080,#ffa500,4.22,None
#205090,#ffa500,4.07,None
#2050a0,#ffa500,3.91,None
#2050b0,#ffa500,3.75,None
#2050c0,#ffa500,3.58,None
#2050d0,#ffa500,3.41,None
#2050e0,#ffa500,3.24,None
#2050f0,#ffa500,3.07,None
#206000,#ffa500,3.89,None
#206010,#ffa500,3.88,None
#206020,#ffa500,3.86,None
#206030,#ffa500,3.83,None
#206040,#ffa500,3.79,None
#206050,#ffa500,3.73,None
#206060,#ffa500,3.66,None
#206070,#ffa500,3.58,None
#206080,#ffa500,3.49,None
#206090,#ffa500,3.39,None
#2060a0,#ffa500,3.28,None
#2060b0,#ffa500,3.16,None
#2060c0,#ffa500,3.04,None
#2060d0,#ffa500,2.92,None
#2060e0,#ffa500,2.79,None
#2060f0,#ffa500,2.66,None
#207000,#ffa500,3.15,None
#207010,#ffa500,3.14,None
#207020,#ffa500,3.13,None
#207030,#ffa500,3.11,None
#207040,#ffa500,3.08,None
#207050,#ffa500,3.04,None
#207060,#ffa500,3.0,None
#207070,#ffa500,2.94,None
#207080,#ffa500,2.88,None
#207090,#ffa500,2.81,None
#2070a0,#ffa500,2.74,None
#2070b0,#ffa500,2.65,None
#2070c0,#ffa500,2.57,None
#2070d0,#ffa500,2.48,None
#2070e0,#ffa500,2.39,None
#2070f0,#ffa500,2.29,None
#208000,#ffa500,2.56,None
#208010,#ffa500,2.56,None
#208020,#ffa500,2.55,None
#208030,#ffa500,2.54,None
#208040,#ffa500,2.52,None
#208050,#ffa500,2.49,None
#208060,#ffa500,2.46,None
#208070,#ffa500,2.43,None
#208080,#ffa500,2.38,None
#208090,#ffa500,2.34,None
