color,bestColor,contrast,compliance
#20d000,#000000,10.08,AAA
#20d010,#000000,10.09,AAA
#20d020,#000000,10.1,AAA
#20d030,#000000,10.13,AAA
#20d040,#000000,10.16,AAA
#20d050,#000000,10.2,AAA
#20d060,#000000,10.25,AAA
#20d070,#000000,10.32,AAA
#20d080,#000000,10.4,AAA
#20d090,#000000,10.49,AAA
#20d0a0,#000000,10.59,AAA
#20d0b0,#000000,10.71,AAA
#20d0c0,#000000,10.84,AAA
#20d0d0,#000000,10.99,AAA
#20d0e0,#000000,11.16,AAA
#20d0f0,#000000,11.34,AAA
#20e000,#000000,11.72,AAA
#20e010,#000000,11.73,AAA
#20e020,#000000,11.74,AAA
#20e030,#000000,11.77,AAA
#20e040,#000000,11.8,AAA
#20e050,#000000,11.84,AAA
#20e060,#000000,11.89,AAA
#20e070,#000000,11.96,AAA
#20e080,#000000,12.04,AAA
#20e090,#000000,12.13,AAA
#20e0a0,#000000,12.23,AAA
#20e0b0,#000000,12.35,AAA
#20e0c0,#000000,12.48,AAA
#20e0d0,#000000,12.63,AAA
#20e0e0,#000000,12.8,AAA
#20e0f0,#000000,12.98,AAA
#20f000,#000000,13.53,AAA
#20f010,#000000,13.53,AAA
#20f020,#000000,13.55,AAA
#20f030,#000000,13.57,AAA
#20f040,#000000,13.6,AAA
#20f050,#000000,13.64,AAA
#20f060,#000000,13.69,AAA
#20f070,#000000,13.76,AAA
#20f080,#000000,13.84,AAA
#20f090,#000000,13.93,AAA
#20f0a0,#000000,14.03,AAA
#20f0b0,#000000,14.15,AAA
#20f0c0,#000000,14.29,AAA
#20f0d0,#000000,14.44,AAA
#20f0e0,#000000,14.6,AAA
#20f0f0,#000000,14.78,AAA
#300000,#ffffff,18.66,AAA
#300010,#ffffff,18.53,AAA
#300020,#ffffff,18.32,AAA
#300030,#ffffff,17.97,AAA
#300040,#ffffff,17.5,AAA
#300050,#ffffff,16.91,AAA
#300060,#ffffff,16.22,AAA
#300070,#ffffff,15.45,AAA
#300080,#ffffff,14.61,AAA
